Harga Sewa,Kota,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Sertifikat,Daya Listrik,Kamar Tidur Pembantu,Kamar Mandi Pembantu,Garasi,Jumlah Lantai,Kondisi Properti,Harga Sewa Log
15000000.0,Tangerang,2.0,1.0,91.0,65.0,1,HGB,10800.0,0.0,0.0,0.0,1.0,Bagus,16.52356082573315
300000000.0,Bandung,4.0,4.0,390.0,500.0,2,SHM,10800.0,1.0,1.0,2.0,2.0,Bagus,19.519293035953808
140000000.0,Denpasar,3.0,2.0,200.0,170.0,1,SHM,10800.0,0.0,0.0,1.0,2.0,Bagus,18.757152987716434
40000000.0,Tangerang Selatan,3.0,2.0,131.0,112.0,1,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,17.50439003707821
195000000.0,Jakarta Utara,5.0,3.0,200.0,240.0,1,SHM,10800.0,0.0,0.0,2.0,3.0,Bagus,19.088510121656228
90000000.0,Jakarta Selatan,4.0,3.0,117.0,120.0,1,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,18.31532023940565
200000000.0,Jakarta Selatan,6.0,4.0,201.0,245.0,3,SHM,10800.0,1.0,1.0,0.0,2.0,Sudah Renovasi,19.11382792951231
125000000.0,Denpasar,2.0,2.0,300.0,400.0,2,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,18.643824303266577
295000000.0,Jakarta Utara,4.0,4.0,300.0,400.0,2,SHM,10800.0,0.0,0.0,1.0,2.0,Bagus,19.502485917693924
148000000.0,Jakarta Utara,4.0,3.0,120.0,168.0,0,SHM,10800.0,1.0,1.0,0.0,2.0,Bagus,18.812722838485147
400000000.0,Surabaya,6.0,5.0,665.0,700.0,6,SHM,10800.0,0.0,0.0,1.0,2.0,Bagus,19.806975107572256
85000000.0,Jakarta Utara,3.0,3.0,90.0,90.0,0,PPJB,10800.0,0.0,0.0,0.0,2.0,Bagus,18.258161826219297
450000000.0,Jakarta Selatan,3.0,2.0,565.0,330.0,2,SHM,10800.0,1.0,1.0,2.0,1.0,Bagus,19.92475814295086
230000000.0,Jakarta Utara,4.0,4.0,250.0,200.0,2,PPJB,10800.0,0.0,0.0,0.0,2.0,Bagus,19.253589871235295
65000000.0,Tangerang,3.0,2.0,32.0,90.0,6,SHM,10800.0,0.0,0.0,0.0,3.0,Bagus,17.989897843244528
22000000.0,Bogor,2.0,2.0,60.0,90.0,1,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,16.906553056777135
125000000.0,Jakarta Barat,4.0,3.0,200.0,300.0,0,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,18.643824303266577
70000000.0,Tangerang,3.0,2.0,60.0,88.0,1,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,18.064005814299346
120000000.0,Jakarta Barat,3.0,3.0,144.0,200.0,1,SHM,10800.0,1.0,1.0,0.0,2.0,Bagus,18.603002309079653
250000000.0,Jakarta Selatan,3.0,3.0,50.0,245.0,2,SHM,10800.0,0.0,0.0,0.0,5.0,Bagus,19.33697147982652
45000000.0,Tangerang,1.0,2.0,40.0,48.0,1,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,17.622173069956816
185000000.0,Tangerang,5.0,4.0,144.0,270.0,3,SHM,10800.0,0.0,0.0,0.0,2.0,Baru,19.035866388448003
32000000.0,Tangerang,2.0,2.0,48.0,54.0,1,SHM,10800.0,1.0,1.0,0.0,2.0,Bagus,17.281246492014
55000000.0,Jakarta Timur,4.0,3.0,150.0,200.0,1,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,17.822843761378564
40000000.0,Bekasi,3.0,2.0,144.0,100.0,1,SHM,10800.0,0.0,0.0,0.0,1.0,Bagus,17.50439003707821
85000000.0,Jakarta Utara,3.0,3.0,90.0,120.0,2,PPJB,10800.0,1.0,1.0,0.0,2.0,Bagus,18.258161826219297
225000000.0,Cikarang,5.0,3.0,448.0,250.0,4,SHM,10800.0,1.0,1.0,0.0,2.0,Bagus,19.23161096461314
160000000.0,Jakarta Selatan,4.0,4.0,200.0,300.0,1,SHM,10800.0,0.0,0.0,1.0,2.0,Sudah Renovasi,18.8906843794481
270000000.0,Jakarta Selatan,3.0,3.0,186.0,250.0,1,SHM,10800.0,0.0,0.0,1.0,2.0,Bagus,19.413932520666354
120000000.0,Jakarta Barat,4.0,3.0,112.0,300.0,0,HGB,10800.0,0.0,0.0,0.0,3.0,Bagus,18.603002309079653
89000000.0,Jakarta Selatan,4.0,3.0,160.0,200.0,2,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,18.30414693893237
150000000.0,Jakarta Selatan,4.0,3.0,200.0,300.0,0,SHM,10800.0,0.0,0.0,1.0,2.0,Bagus,18.826145858727198
29000000.0,Bekasi,3.0,2.0,60.0,120.0,1,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,17.182806422433504
95000000.0,Denpasar,3.0,2.0,53.0,70.0,1,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,18.36938746009113
95000000.0,Tangerang,3.0,2.0,212.0,106.0,0,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,18.36938746009113
50000000.0,Jakarta Utara,3.0,1.0,105.0,100.0,0,SHM,10800.0,0.0,0.0,0.0,1.0,Bagus,17.72753358339242
100000000.0,Tangerang,4.0,2.0,306.0,225.0,1,SHM,10800.0,1.0,1.0,0.0,1.0,Bagus,18.420680753952364
60000000.0,Bekasi,4.0,3.0,80.0,120.0,2,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,17.909855136853043
350000000.0,Badung,3.0,5.0,320.0,280.0,1,SHM,10800.0,0.0,0.0,1.0,2.0,Bagus,19.673443715304877
320000000.0,Jakarta Utara,3.0,4.0,160.0,450.0,1,SHM,10800.0,0.0,0.0,1.0,4.0,Bagus,19.583831556883048
110000000.0,Tangerang,4.0,4.0,200.0,167.0,0,SHM,10800.0,1.0,1.0,1.0,2.0,Bagus,18.5159909328476
35000000.0,Bandung,2.0,1.0,102.0,90.0,1,SHM,10800.0,0.0,0.0,0.0,1.0,Bagus,17.370858648025116
95000000.0,Jakarta Utara,4.0,3.0,90.0,150.0,1,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,18.36938746009113
300000000.0,Jakarta Utara,3.0,3.0,160.0,160.0,0,PPJB,10800.0,1.0,1.0,1.0,2.0,Bagus,19.519293035953808
140000000.0,Jakarta Utara,4.0,4.0,200.0,200.0,0,PPJB,10800.0,1.0,1.0,2.0,2.0,Bagus,18.757152987716434
475000000.0,Jakarta Pusat,4.0,3.0,601.0,400.0,0,SHM,10800.0,0.0,0.0,0.0,1.0,Renovasi Total,19.97882536410418
67000000.0,Jakarta Utara,4.0,3.0,102.0,144.0,1,SHM,10800.0,0.0,0.0,0.0,2.0,Sudah Renovasi,18.020203192280615
96000000.0,Jakarta Utara,6.0,3.0,144.0,216.0,2,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,18.379858759848776
145000000.0,Jakarta Utara,3.0,2.0,160.0,240.0,1,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,18.7922443072814
65000000.0,Semarang,4.0,3.0,190.0,170.0,1,SHM,10800.0,1.0,1.0,0.0,1.0,Bagus,17.989897843244528
90000000.0,Denpasar,2.0,2.0,50.0,55.0,1,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,18.31532023940565
260000000.0,Jakarta Selatan,3.0,2.0,130.0,300.0,2,SHM,10800.0,0.0,0.0,1.0,2.0,Bagus,19.376192192825954
100000000.0,Bandung,4.0,4.0,243.0,400.0,1,SHM,10800.0,0.0,0.0,1.0,2.0,Bagus,18.420680753952364
195000000.0,Denpasar,3.0,3.0,325.0,206.0,1,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,19.088510121656228
75000000.0,Denpasar,3.0,2.0,100.0,110.0,1,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,18.132998684833918
275000000.0,Surabaya,3.0,3.0,618.0,500.0,1,SHM,10800.0,0.0,0.0,1.0,2.0,Bagus,19.432281659267208
170000000.0,Bandung,5.0,5.0,295.0,245.0,2,SHM,10800.0,0.0,0.0,1.0,2.0,Bagus,18.951309000896888
125000000.0,Semarang,5.0,4.0,347.0,350.0,2,SHM,10800.0,1.0,1.0,1.0,2.0,Bagus,18.643824303266577
33000000.0,Jakarta Utara,3.0,2.0,60.0,84.0,1,PPJB,10800.0,0.0,0.0,0.0,2.0,Bagus,17.312018149733785
37000000.0,Tangerang,3.0,2.0,65.0,65.0,1,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,17.426428497635523
300000000.0,Jakarta Utara,4.0,4.0,200.0,560.0,1,HGB,10800.0,0.0,0.0,3.0,4.0,Bagus,19.519293035953808
110000000.0,Jakarta Utara,3.0,2.0,240.0,180.0,1,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,18.5159909328476
110000000.0,Surabaya,3.0,2.0,400.0,300.0,6,Hak Pakai,10800.0,0.0,0.0,1.0,1.0,Bagus,18.5159909328476
37000000.0,Sidoarjo,3.0,2.0,161.0,100.0,1,SHM,10800.0,1.0,1.0,1.0,1.0,Sudah Renovasi,17.426428497635523
275000000.0,Gianyar,2.0,3.0,1050.0,165.0,0,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,19.432281659267208
450000000.0,Jakarta Selatan,4.0,2.0,372.0,172.0,5,SHM,10800.0,1.0,1.0,0.0,1.0,Bagus,19.92475814295086
250000000.0,Semarang,4.0,4.0,256.0,248.0,0,SHM,10800.0,0.0,0.0,0.0,1.0,Bagus,19.33697147982652
185000000.0,Jakarta Barat,4.0,3.0,180.0,275.0,1,SHM,10800.0,1.0,1.0,1.0,3.0,Bagus,19.035866388448003
300000000.0,Badung,5.0,6.0,300.0,400.0,0,SHM,10800.0,0.0,0.0,1.0,2.0,Bagus,19.519293035953808
220000000.0,Tangerang,4.0,3.0,200.0,229.0,4,PPJB,10800.0,1.0,1.0,0.0,2.0,Bagus,19.20913810886209
64000000.0,Jakarta Selatan,6.0,4.0,1500.0,450.0,12,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,17.974393656948944
350000000.0,Jakarta Selatan,3.0,4.0,104.0,311.0,1,SHM,10800.0,1.0,1.0,1.0,1.0,Bagus,19.673443715304877
450000000.0,Cikarang,4.0,4.0,351.0,429.0,1,SHM,10800.0,1.0,1.0,2.0,2.0,Bagus,19.92475814295086
500000000.0,Surabaya,4.0,4.0,780.0,650.0,12,HGB,10800.0,1.0,1.0,12.0,2.0,Bagus,20.030118658386467
225000000.0,Jakarta Selatan,4.0,1.0,150.0,200.0,2,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,19.23161096461314
74000000.0,Jakarta Selatan,5.0,3.0,700.0,541.0,2,SHM,10800.0,2.0,1.0,2.0,2.0,Bagus,18.119575664681957
375000000.0,Jakarta Selatan,5.0,4.0,320.0,300.0,2,SHM,10800.0,0.0,0.0,2.0,2.0,Bagus,19.74243658660135
325000000.0,Jakarta Selatan,4.0,4.0,260.0,460.0,2,SHM,10800.0,1.0,1.0,0.0,2.0,Bagus,19.599335743370936
37000000.0,Bandung,2.0,1.0,45.0,45.0,0,SHM,10800.0,0.0,0.0,0.0,1.0,Bagus,17.426428497635523
265000000.0,Jakarta Selatan,5.0,4.0,205.0,330.0,1,SHM,10800.0,1.0,1.0,1.0,2.0,Sudah Renovasi,19.39524038772408
450000000.0,Bandung,5.0,4.0,480.0,500.0,2,SHM,10800.0,0.0,0.0,2.0,2.0,Bagus,19.92475814295086
200000000.0,Badung,3.0,4.0,150.0,250.0,1,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,19.11382792951231
15000000.0,Bojonegoro,2.0,3.0,135.0,100.0,1,HGB,10800.0,0.0,0.0,1.0,1.0,Bagus,16.52356082573315
3.0,Tangerang,1.0,1.0,36.0,30.0,0,HGB,10800.0,0.0,0.0,0.0,1.0,Sudah Renovasi,1.3862943611198906
210000000.0,Jakarta Selatan,5.0,3.0,215.0,90.0,2,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,19.162618093443648
55000000.0,Tangerang Selatan,4.0,3.0,150.0,250.0,0,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,17.822843761378564
180000000.0,Tangerang Selatan,7.0,4.0,450.0,300.0,0,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,19.00846741441004
320000000.0,Jakarta Selatan,3.0,2.0,279.0,300.0,1,SHM,10800.0,0.0,0.0,1.0,2.0,Bagus,19.583831556883048
40000000.0,Tangerang,4.0,3.0,97.0,88.0,0,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,17.50439003707821
55000000.0,Jakarta Utara,2.0,1.0,60.0,115.0,2,SHM,10800.0,0.0,0.0,0.0,1.0,Bagus,17.822843761378564
4000000.0,Bogor,3.0,3.0,345.0,300.0,2,SHM,10800.0,0.0,0.0,2.0,2.0,Sudah Renovasi,15.201805169084134
110000000.0,Jakarta Barat,4.0,4.0,200.0,350.0,0,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,18.5159909328476
95000000.0,Tangerang,3.0,2.0,144.0,120.0,2,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,18.36938746009113
38000000.0,Tangerang Selatan,3.0,2.0,90.0,130.0,0,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,17.453096744006448
150000000.0,Jakarta Pusat,5.0,5.0,1000.0,700.0,8,SHM,10800.0,2.0,2.0,2.0,1.0,Bagus,18.826145858727198
350000000.0,Jakarta Selatan,3.0,2.0,289.0,200.0,0,SHM,10800.0,1.0,1.0,2.0,1.0,Bagus,19.673443715304877
285000000.0,Jakarta Selatan,3.0,3.0,120.0,200.0,1,SHM,10800.0,1.0,1.0,1.0,2.0,Bagus,19.467999741741696
300000000.0,Jakarta Selatan,4.0,4.0,144.0,312.0,1,SHM,10800.0,2.0,1.0,2.0,3.0,Bagus,19.519293035953808
250000000.0,Surabaya,6.0,3.0,600.0,487.0,1,SHM,10800.0,0.0,0.0,0.0,1.0,Bagus,19.33697147982652
8000000.0,Badung,2.0,1.0,100.0,70.0,1,SHM,10800.0,0.0,0.0,0.0,1.0,Bagus,15.894952224644102
50000000.0,Bandung,4.0,2.0,144.0,200.0,1,SHM,10800.0,0.0,0.0,1.0,2.0,Bagus,17.72753358339242
55000000.0,Bandung,3.0,2.0,102.0,132.0,1,SHM,10800.0,1.0,1.0,0.0,2.0,Bagus,17.822843761378564
300000000.0,Jakarta Selatan,3.0,2.0,300.0,250.0,1,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,19.519293035953808
69000000.0,Bandung,3.0,3.0,122.0,150.0,1,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,18.049617077054286
92000000.0,Jakarta Selatan,5.0,4.0,700.0,700.0,2,SHM,10800.0,2.0,1.0,2.0,2.0,Bagus,18.33729914588288
55000000.0,Tangerang,3.0,2.0,119.0,100.0,1,PPJB,10800.0,1.0,1.0,0.0,2.0,Bagus,17.822843761378564
325000000.0,Jakarta Selatan,4.0,3.0,392.0,350.0,1,SHM,10800.0,1.0,1.0,2.0,2.0,Bagus,19.599335743370936
47000000.0,Tangerang,3.0,2.0,77.0,70.0,1,PPJB,10800.0,0.0,0.0,0.0,2.0,Bagus,17.665658180950928
45000000.0,Tangerang,3.0,2.0,50.0,60.0,1,PPJB,10800.0,0.0,0.0,0.0,2.0,Bagus,17.622173069956816
40000000.0,Pontianak,3.0,2.0,200.0,100.0,2,SHM,10800.0,0.0,0.0,1.0,1.0,Bagus,17.50439003707821
380000000.0,Jakarta Selatan,5.0,3.0,320.0,420.0,2,SHM,10800.0,1.0,2.0,2.0,2.0,Bagus,19.755681813316283
185000000.0,Jakarta Selatan,4.0,4.0,260.0,200.0,2,SHM,10800.0,0.0,0.0,1.0,1.0,Bagus,19.035866388448003
50000000.0,Surabaya,3.0,2.0,120.0,70.0,0,HGB,10800.0,0.0,0.0,0.0,1.0,Bagus,17.72753358339242
75000000.0,Jakarta Utara,4.0,3.0,102.0,102.0,0,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,18.132998684833918
8000000.0,Denpasar,1.0,1.0,45.0,32.0,1,Hak Sewa,10800.0,0.0,0.0,0.0,2.0,Baru,15.894952224644102
449000000.0,Jakarta Selatan,5.0,4.0,600.0,400.0,2,SHM,10800.0,0.0,0.0,1.0,2.0,Bagus,19.9225334479337
45000000.0,Cirebon,3.0,2.0,135.0,120.0,1,SHM,10800.0,0.0,0.0,0.0,1.0,Bagus,17.622173069956816
500000000.0,Pasuruan,3.0,2.0,11000.0,800.0,10,SHM,10800.0,1.0,1.0,0.0,1.0,Butuh Renovasi,20.030118658386467
320000000.0,Jakarta Selatan,4.0,3.0,180.0,280.0,0,SHM,10800.0,1.0,1.0,1.0,2.0,Bagus,19.583831556883048
95000000.0,Bandung,3.0,2.0,109.0,218.0,1,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,18.36938746009113
90000000.0,Bogor,3.0,2.0,300.0,185.0,1,SHM,10800.0,1.0,0.0,1.0,2.0,Sudah Renovasi,18.31532023940565
65000000.0,Tangerang,3.0,2.0,78.0,65.0,1,PPJB,10800.0,0.0,0.0,0.0,2.0,Bagus,17.989897843244528
150000000.0,Cirebon,6.0,5.0,220.0,300.0,2,SHM,10800.0,1.0,1.0,0.0,2.0,Bagus,18.826145858727198
