Harga Sewa;Lokasi;Kamar Tidur;Kamar Mandi;Luas Tanah;Luas Bangunan;Carport;Sertifikat;Daya Listrik;Kamar Tidur Pembantu;Kamar Mandi Pembantu;Garasi;Jumlah Lantai;Kondisi Properti
725000000;Kemang, Jakarta Selatan;5.0;3.0;1000;500;9;SHM;16500;1;2;0;1;Bagus
50000000;Villa Melati Mas, Tangerang Selatan;3.0;1.0;120;100;0;Lainnya;Lainnya;0;0;0;1;Sudah Renovasi
684000000;Pondok Indah, Jakarta Selatan;4.0;3.0;312;430;3;SHM;13200;1;1;0;2;Bagus
300000000;Kemang, Jakarta Selatan;;3.0;279;250;2;SHM;8000;1;1;0;2;Bagus
300000000;Kebayoran Baru, Jakarta Selatan;4.0;4.0;225;300;2;SHM;6600;1;1;0;2;Bagus
100000000;Denpasar Utara, Denpasar;5.0;3.0;350;250;2;SHM;;0;0;;;
250000000;Geger Kalong, Bandung;5.0;3.0;510;485;2;SHM;;0;0;;;
15000000;Tigaraksa, Tangerang;2.0;1.0;91;65;1;HGB;1300;0;0;0;1;Bagus
300000000;Kota Baru Parahyangan, Bandung;4.0;4.0;390;500;2;SHM;Lainnya;1;1;2;2;Bagus
950000000;Pondok Indah, Jakarta Selatan;3.0;4.0;449;600;2;SHM;23000;1;4;2;2;Bagus
1000000000;Menteng, Jakarta Pusat;4.0;5.0;750;1000;2;SHM;Lainnya;3;1;2;2;Bagus
3000000000;Menteng, Jakarta Pusat;5.0;6.0;1750;1000;8;SHM;;;;;;
1000000000;Cilandak, Jakarta Selatan;5.0;5.0;520;727;2;SHM;Lainnya;2;1;2;2;Sudah Renovasi
140000000;Pemecutan, Denpasar;3.0;2.0;200;170;1;Lainnya;Lainnya;0;0;1;2;Bagus
40000000;Serpong, Tangerang Selatan;3.0;2.0;131;112;1;SHM;Lainnya;0;0;0;2;Bagus
2000000000;Ampera, Jakarta Selatan;17.0;7.0;20000;900;12;SHM;Lainnya;0;0;0;2;Bagus
195000000;Pantai Indah Kapuk, Jakarta Utara;5.0;3.0;200;240;1;Lainnya;Lainnya;0;0;2;3;Bagus
90000000;Kebagusan, Jakarta Selatan;4.0;3.0;117;120;1;SHM;;0;0;0;;
200000000;Kebayoran Baru, Jakarta Selatan;6.0;4.0;201;245;3;SHM;7600;1;1;0;2;Sudah Renovasi
125000000;Renon, Denpasar;2.0;2.0;300;400;2;SHM;;;;0;;
295000000;Pantai Indah Kapuk 2, Jakarta Utara;4.0;4.0;300;400;2;Lainnya;;;;;;
148000000;Kelapa Gading, Jakarta Utara;4.0;3.0;120;168;0;Lainnya;Lainnya;1;1;0;2;Bagus
400000000;Pakuwon City, Surabaya;6.0;5.0;665;700;6;SHM;;0;0;;;
85000000;Pantai Indah Kapuk 2, Jakarta Utara;3.0;3.0;90;90;0;PPJB;4400;;;;;
450000000;Kebayoran Lama, Jakarta Selatan;3.0;2.0;565;330;2;SHM;11000;1;1;2;1;Bagus
230000000;Pantai Indah Kapuk 2, Jakarta Utara;4.0;4.0;250;200;2;PPJB;;;;0;;
65000000;BSD Vanya Park, Tangerang;3.0;2.0;32;90;6;SHM;7700;0;0;0;3;Bagus
22000000;Ciomas, Bogor;2.0;2.0;60;90;1;Lainnya;Lainnya;0;0;0;2;Bagus
125000000;Puri Indah, Jakarta Barat;4.0;3.0;200;300;0;SHM;Lainnya;0;0;0;2;Bagus
70000000;BSD City, Tangerang;3.0;2.0;60;88;1;Lainnya;;0;0;0;;
120000000;Permata Buana, Jakarta Barat;3.0;3.0;144;200;1;SHM;3500;1;1;0;2;Bagus
250000000;Kemang, Jakarta Selatan;3.0;3.0;50;245;2;SHM;Lainnya;0;0;0;5;Bagus
550000000;BSD City, Tangerang;4.0;3.0;336;349;2;SHM;Lainnya;1;1;1;2;Bagus
45000000;BSD, Tangerang;1.0;2.0;40;48;1;Lainnya;;0;0;0;;
185000000;BSD, Tangerang;5.0;4.0;144;270;3;SHM;;;;0;;Baru
32000000;Gading Serpong, Tangerang;2.0;2.0;48;54;1;Lainnya;2200;1;1;0;2;Bagus
55000000;Pasar Rebo, Jakarta Timur;4.0;3.0;150;200;1;SHM;2200;0;0;0;2;Bagus
